Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",job_title_original,new_job_title,major_role_group,minor_sub_group,grouping_justification
Accounting Specialist I,Works cooperatively with departmental staff as well as other departments within the district and external users or vendors of MNPS. Provides Tier I and II technical support for users of learning systems. Assists with hardware and software testing.,Master's Degree from an accredited institution in related field Preferred, A minimum of three (3) years successful in an end user technical support role Required,"Provides Tier I and II support for Apple devices, interactive panels, and other managed instructional applications and interoperative systems.
Lead the support of instructional hardware in the district as assigned, advancing the proliferation of technology populations and usage.
Collaborate with Technology Services and vendors to configure software and equipment to support instructional learning systems.
Recommends and executes modifications to systems, following the districts change control process, to improve efficiency, reliability, usability and performance.
Assists in implementation and maintenance of policies, procedures and associated training plans for systems administration and their appropriate use.
Ensures\enforces security standards as it relates to, information interchange\file security, server\application hardening, and account management.
Participates in key process improvements for Apple Computer, iPad, Promethean Panel, and all other brands of Interactive White Boards and Panels.
Monitors technology trends and serves as a liaison to vendors of foundational technology.  Responsible for suggesting and evaluating new items of technology hardware.",,"Knowledge of support and maintenance of devices including MacOS computers, iPads, Touchscreen panels and Interactive White Boards.
Experience providing support in a remote capacity.
Exceptional judgment and professionalism, with the ability to adapt to a changing environment.
Must be a team player with the ability to work collaboratively with others.
Understanding of the educational landscape
Ability to be flexible in prioritizing key activities, while managing / meeting stakeholder expectations.
Ability to manage multiple assignments and meet all required timelines,
Able to assess, diagnose, and troubleshoot technical issues. Strong communication and collaboration skills.",Accounting Specialist I,Learning Systems Support Technician III,Technician,III,"The best match, for the diagnostic work done, but does not fully capture the scope of the work done in this role. May need to be further evaulated. Why is it an 'Admin'? "
Director of Counseling and Advising,"The person in this role leads the strategic development and implementation of comprehensive school counseling and postsecondary advising systems across all MNPS schools. This role ensures that academic, social-emotional, and college and career readiness advising are delivered in a cohesive, equitable, and student-centered manner. As a key leader in the CCR department, the Director is responsible for supporting school-based counselors, managing centralized supports, and aligning all advising efforts with the district's Tiered Transition Planning framework and Ready Graduate metrics. The Director works collaboratively across departments to embed postsecondary planning into daily school experiences, ensuring every MNPS student receives timely, data-informed, and personalized guidance throughout their Kñ12 journey. This position calls for an experienced, equity-driven leader who can translate vision into systems that guide every student toward a purposeful and well-supported postsecondary path. The Director of Counseling and Advising is central to ensuring that MNPS students receive timely, informed, and individualized guidance that prepares them for college, career, and life.",,,"Advising System Design: Lead the development and refinement of districtwide counseling and advising frameworks that align with national best practices, state requirements, and MNPS readiness goals.
Tiered Transition Planning Oversight: Ensure high-quality implementation of Tiered Transition Planning across all grade levels, with particular emphasis on key postsecondary transition points in grades 8, 10, and 12.
School-Based Counselor Support: Provide vision, structure, and systems that enable counselors to deliver aligned and impactful services, including tools, data protocols, scheduling support, and professional development.
Readiness Integration: Ensure advising is fully integrated with advanced academics, career pathways, EPSO participation, and other district CCR initiatives.
Professional Learning and Capacity Building: Develop and manage a districtwide professional development plan to support school counselors, college and career readiness coaches, and advising teams.
Data-Driven Improvement: Monitor key advising-related performance indicators (e.g., FAFSA, postsecondary match, EPSO access and success, transition completion) and use the data to inform continuous improvement.
Family and Community Engagement: Collaborate with the Family Engagement team and external organizations to ensure families are well-informed partners in advising processes and postsecondary planning.
Cross-Functional Collaboration: Work in close coordination with CCR directors, school leaders, and central office departments to ensure advising is embedded across school experiences and is consistently supported.
Equity Leadership: Identify gaps in access to high-quality advising and postsecondary planning resources. Design and lead targeted efforts to support historically underserved students and communities.
Team Leadership: Supervise a team of coordinators and coaches to support counseling and advising across grade levels, ensuring consistent implementation, aligned messaging, and a culture of shared accountability for student success.",,,Director of Counseling and Advising,Counseling and Advising Director,Director,,"Strategic oversight, school-level support, program integration. Demonstrates strategic leadership, project oversight, and team management responsibilities."
Data Specialist III,"Assists with data collection, analysis, and reporting.  Responds to data requests.  Responsible for loading student data into the State's Educational Information System and monitoring activities related to student improvement data.",Bachelor's Degree In applicable field  Required, Two (2) or more years related experience Required,"Maintains a functional understanding of existing data sources, structures, and data organization.
Generates, reviews and uploads data extracts from the student management system to EIS.
Maintains computerized collection and tracking of relevant data, converting and importing data from different file types as necessary. Utilizes software packages to organize and merge data files.
Responds to basic data requests from District staff and community stakeholders. Describes available data and identifies relevant information.
Maintains data quality by troubleshooting and correcting problems.
Maintains knowledge of state reporting changes and communicates procedural changes to users of the student management system to ensure district compliance.
Creates data documentation substantiated with specific facts. Ensures that documents can be understood by technical and non-technical personnel.",,"Must be proficient in or have the aptitude for software packages such as WORD, EXCEL, and SPSS.",Data Specialist III,Data Quality and Integrity Analyst I,Analyst,I,"Matches the Analyst KSACs the best, including Data Analysis, Analytical Thinking, and Attention to detail. Given the lower scope and the lack of supervisory duties, I've placed this as a level I role."
Behavioral Specialist II,"Provides technical expertise to manage and administer enterprise application(s).  Defines, develops and implements strategies within the guidelines of the district's strategic framework and technology plan. Provides leadership and works with technical teams, department and business stakeholders and vendors to ensure an application's reliability, functionality and value in the district.",Bachelor's Degree  or year for year directly related work experience Required,1-3 years Application support/management Required,"Implements, administers, and manages life cycle of specified enterprise application(s).
Researches, defines and develops standards, proposals and process, and manages resources to ensure outstanding customer service, process improvements and incident resolution.
Work with vendors, stakeholders and senior management to develop, update and communicate product roadmaps.
Monitors and reports product availability, reliability, and vendor responsiveness in comparison to agreed upon service level agreements. Regularly meets with vendors to review and improve product and vendor performances, processes, and enhancements.
Coordinates with business owners, enterprise teams, and users in the development and implementation of business rules that govern access and use of enterprise applications.
Consistently collaborates with other enterprise teams to solve complex procedural, operational and technical problems.
Foster and manage relationships with stakeholders, customers and vendor partners.
Perform other related duties as assigned by the MNPS TIS EDS Management.",,"Strong knowledge of databases structures and applications lifecycles.
Plan and organize multiple projects simultaneously and adapt when necessary.
Understanding of enterprise level applications and data systems.
Ability to work collaboratively and communicate effectively.
Work and collaborate with cross functional teams",Behavioral Specialist II,Budget and Financial Reporting Director,Director,,"Matches the Director KSACs, including Financial Management, Leadership, and Strategic Management."
Contracting Specialist,"Serves as a member of the Social and Emotional Learning Leadership Team and on various district level committees. Supervises and directs BCBAs on Behavior Support Team in providing consultation and training to teachers, parents, related service providers, and other school professionals. Provides evaluation of staff. Collaborates with outside service providers.","Serves as a member of the Social and Emotional Learning Leadership Team and on various district level committees. Supervises and directs BCBAs on Behavior Support Team in providing consultation and training to teachers, parents, related service providers, and other school professionals. Provides evaluation of staff. Collaborates with outside service providers.", Current BCBA certification and Tennessee licensure as a Behavior Analyst  Required,"Oversees the cluster referral process for behavior analysts.
Evaluates Behavior Support Team protocols and procedures, and staff effectiveness.
Develops and conducts professional development for individual schools, staff and district-wide.
Develops materials (including protocols, service summaries, and overviews of behavior supports) to support school personnel.
Provides individual case management coaching to staff.
Works in conjunction with other MNPS leadership to address student, school and district needs/priorities.
Develops data collection systems in collaboration with school and district personnel to track behavior and academic progress.
Keeps abreast of best practices and changes in Federal, State and Local laws and BACB/Tennessee LBA requirements. Makes recommended changes based on best practices.", Current Board Certified Behavior Analyst (BCBA certification) and Tennessee Licensed Behavior Analyst (LBA)  Required,"Has knowledge of Applied Behavior Analysis research, evaluation, strategies, theories, techniques, and methods of instruction.
Understands, core concepts of ABA; successful experience designing and delivering professional development;
Ability to engage a variety of stakeholders;
Ability to work independently and in collaboration with other teams;
Strong interpersonal skills and the ability to create trusting relationships;
Strong organizational skills with outstanding attention to detail; Proficient in MS PowerPoint, Word, and Excel.
Ability to make decisions using information from all relevant sources;
Ability to deliver sensitive information to staff; ability to give performance feedback in a professional and effective manner.",Contracting Specialist,Behavior Support Team Coordinator,Coordinator,,"Matches the KSACs for Coordinator, including Project Management, Task Delegation, Team Coordination, and Budget Management."
Spec Behavior BCBA Ex Ed,"Position for a BCBA on the Exceptional Education Behavior Coaching Team (EEBCT) primarily supporting a quadrant within the district. Responsibilities include building capacity at the school level through training MNPS employees in implementation of evidence-based practices and behavior analytic strategies, providing behavior support through modeling and coaching of strategies to school staff, and conducting functional behavior assessments and/or analysis.
",Master's Degree or higher Required," Experience using Excel, powerpoint and other technology related to staff training and data analysis  Required","Develops, implements and assists in training MNPS staff on behavior analytic and evidence-based procedures with students, including but not limited to discrete trial training, functional behavior assessments, behavior intervention plans, data collection procedures, naturalistic teaching procedures, contingencies of reinforcement, and discrimination training.
Guides psychologists and school teams in conducting FBAís, preference assessments, individualized assessment procedures and development of behavior intervention plans and fidelity checks.
Conducts functional analyses.
Coaches and guides school teams through data collection, graphing, analysis, procedural fidelity checks, and troubleshooting of studentsí behavior data.
Attends district, quadrant, school, and team meetings, as needed; completes action items, as assigned.
Reviews and applies most recent peer-reviewed research and evidence-based practices, as applicable.
Participates and assists in the development and refining of MNPS procedures and protocols regarding the EEBCT, and creation of related documents.
Complies with both MNPS and BACB standards in ethical handling and management of student data, documentation.
Maintain good standing and certification through the requirements of the BACB, complete annual renewal of certification, maintain state licensure requirements set by TN Dept of Health, and comply with the BACBís ethical code of conduct.
Provide supervision of RBTís and interns, as assigned, and in compliance with supervision requirements mandated by the BACB.
Participates professionally and respectfully as a member of a multi-disciplinary team at the district and school team level to support policy, systems and individualized plans."," Board Certified Behavior Analyst (BCBA) Upon Hire Required
 Licensed Behavior Analyst (LBA;TN)
 Upon Hire Required","Effective communication and collaboration as a multi-disciplinary team member.
Ability to train on behavior analytic topics within small and large group settings.",Spec Behavior BCBA Ex Ed,BCBA Exceptional Education Therapist,Therapist,,"While there are some similarities between the role and the specialist classification: The BCBA acts as a subject-matter expert, complies with standards and ensures compliance, both of which are laid out in the KSACs for the specialist role; the degree qualifications, licensure requirements, and the coaching aspects of the role are too high-level. Instead, several KSACs of the therapist role match with the essential functions of this role, including managing conflict crisis intervention, and therapy modalities."
Analyst for Compliance and Grants,"The rolents supports the effective and compliant implementation of college and career readiness initiatives by monitoring grant requirements, managing reporting processes, and ensuring alignment to local, state, and federal regulations. This role plays a critical function in supporting the district's Career and Technical Education (CTE) program, with a primary focus on Perkins V compliance, while also supporting other CCR-related grants and initiatives. The analyst must be highly skilled in collecting, managing, and analyzing data to support program fidelity, track outcomes, and inform decision-making. This Analyst should be a detail-oriented, analytical professional who can manage complex data and compliance processes while supporting the district's broader vision for equity, access, and student readiness.",,,"Grant Compliance Oversight: Ensure district compliance with Perkins V and other relevant grant requirements, including programmatic, fiscal, and reporting components.
Data Collection and Management: Gather, organize, and validate data related to student enrollment, program participation, credential attainment, and other key indicators. Work with CCR data and systems teams to ensure accurate and timely reporting.
Monitoring and Documentation: Develop and maintain tracking tools and documentation systems that demonstrate program implementation and compliance.
Reporting and Submission: Prepare and submit required reports for state and federal entities. Ensure accuracy, alignment, and timeliness in collaboration with CCR leadership and district grant offices.
Cross-Functional Collaboration: Work closely with the Director of Career Academies, CTE Coordinator, CCR Systems team, and other relevant departments to align data practices and grant-funded initiatives.
Audit and Monitoring Support: Prepare documentation and support district readiness for state and federal audits, reviews, or technical assistance visits.
Funding Alignment and Impact Support: Assist in evaluating the effectiveness of grant-funded initiatives and ensure that investments align with intended CCR outcomes.
Technical Assistance: Serve as a resource to school-based and central office teams on compliance expectations, allowable use of funds, and documentation protocols.",,,Analyst for Compliance and Grants,Compliance Analyst II,Analyst,II,Grant compliance and tracking; solid Level II. Aligned with Analyst KSACs; role focused primarily on data development and reporting.
Spec Boundary Planning ,"Maintains the multiple databases of ArcGIS and Edulog boundaries to ensure integrity for student assignment, student projections and various special studies.

","Bachelor's Degree from an accredited college 	or university Preferred"," Proven work experience and Microsoft Office products including Word, PowerPoint and Access  Required","Develop and maintain school attendance boundaries utilizing ArcGIS and Edulog software .
Maintain a geo-database of currently enrolled students.
Develop and maintain Student Assignment maps and generate various custom maps for other MNPS departments by using ArcGIS software.
Interface with the Transportation Department to perform boundary editing and provide updates to zoning boundaries in the Edulog software.
Perform various demographic analyses and generate reports.
Assist in generating annual and semi-annual student enrollment projections.
Assist other Student Assignment staff members with technical assistance using Microsoft Office and other applications.
Performs other duties or tasks as required or assigned which are reasonably within the scope of the responsibilities in this job classification.",,"Working knowledge of GIS software is desirable
Strong computer and data entry skills
Ability to read and interpret a map
Comprehension of student assignment terminology and overall operations of same
Understanding of GIS principals
Familiarity with District
Ability to adapt to a continual changing work environment
Ability to interact with multiple departments within the Metro system on a daily basis
Ability to work extra/overtime hours as needed during peak operational periods
Proven organizational and communicational skills",Spec Boundary Planning ,Boundary Planning Technician,Technician,,"The qualifications for this role do not match those of other specialists, only requiring a high school diploma or equivalent, with a bachelorís preferred. Some proven work experience with industry technology is required, but no specific metric is given. Furthermore, the essential functions of the position match best with that of a technician. Equipment maintenance, such as maintaining school attend boundaries using technical skills. Situational adaptability, which is required when assisting other staff members, as well as diagnostic techniques and problem-solving."
Manager of Gifted and Talented Education,"The person in this position supports the effective implementation and continuous improvement of gifted education services across MNPS. Reporting to the Coordinator of Gifted and Talented Education, this role is responsible for mentoring and supporting the district's Gifted and Talented Teachers (GTTs), coordinating professional learning, and helping ensure alignment with national standards and district priorities. The Manager also supports school-based implementation, facilitates program development, and helps strengthen instructional practices for advanced learners. The Manager must be an experienced educator with deep knowledge of gifted education, strong collaboration skills, and a passion for supporting teachers and advancing instructional excellence for advanced learners.",,,"Educator Support and Mentorship: Provide ongoing coaching, support, and instructional guidance to Gifted and Talented Teachers across the district.
Professional Learning: Plan and facilitate professional learning experiences that build educator capacity in identifying, serving, and challenging gifted students.
Curriculum and Instructional Support: Assist GTTs in developing differentiated instructional strategies and materials that meet the needs of diverse gifted learners.
Collaboration and Alignment: Work with the Coordinator of Gifted and Talented Education and the Director of Advanced Academics to ensure program alignment with the broader academic readiness and equity strategies.
Program Implementation Assistance: Support the implementation of GATE services at the school level by responding to educator questions, resolving instructional challenges, and promoting consistency across sites.
Resource Development: Create and disseminate tools and materials that enhance program quality and instructional delivery.
Screening and Enrichment Support: Assist with gifted screening processes and support the implementation of supplemental and enrichment opportunities, including summer programming.
Family and Community Engagement: Participate in outreach efforts and events to inform families and community stakeholders about gifted services and programming opportunities.",,,Manager of Gifted and Talented Education,GATE Instruction Coach,Coach,,"Coaches educators, supports differentiated instruction for gifted learners. Aligned with Coach KSACs."
Executive Director of Counseling and Advising,"The position leads MNPS's vision and execution of a districtwide, equity-centered counseling and advising strategy. This role ensures students receive high-quality academic, social-emotional, and postsecondary guidance by building aligned systems that support counselors, advising teams, and transition planning. The Executive Director leads the development of Tiered Transition Planning and advising practices aligned to the Portrait of a Graduate, ensuring that all students graduate with a personalized plan and the tools to pursue it. This position connects departmental efforts directly to district strategic goals around postsecondary access, equity, and student success.",,,"Strategic Vision & Program Leadership: Set a comprehensive vision for Kñ12 advising and counseling that aligns with district priorities, Ready Graduate goals, and the MNPS Portrait of a Graduate.
Kñ12 System Design & Oversight: Design and oversee advising systems and tools that span all grade bands, with distinct attention to developmental needs and strategic postsecondary planning.
Equity-Focused Systems Development: Develop systems that proactively address advising and access gaps for historically underserved students through data-informed design and intervention.
Performance & Practice Standards: Define performance expectations for school counselors and CCR advisors; establish systems to monitor and support implementation.
Capacity Building: Lead the development and delivery of professional learning for school counselors, CCR coaches, and advising teams aligned to state and national standards.
Integrated Transition Planning: Ensure consistent implementation of Tiered Transition Planning, including the Four-Year and Beyond Plan, across all schools and grade levels.
Data-Driven Decision-Making: Use advising and transition data to identify advising trends, measure outcomes, and drive continuous improvement in postsecondary advising systems.
Cross-Functional Collaboration: Work closely with CCR directors and school leaders to embed advising strategies across advanced academics, career pathways, and instructional programming.
External Partnership Management: Represent MNPS in advising-related initiatives with postsecondary partners, scholarship organizations, and external advocacy groups.
Continuous Improvement & Innovation: Lead cycles of improvement that refine advising structures and ensure they adapt to evolving postsecondary demands.
Cross-Department Alignment: Ensure advising and counseling strategies are tightly integrated with teaching and learning, SEL, and other districtwide initiatives.
Policy & Advocacy: Monitor changes in advising and postsecondary policy, advocate for reforms that benefit MNPS students, and support alignment with state initiatives.
Resource Stewardship: Manage budgets, human capital, and external resources to ensure schools are supported in delivering consistent, high-impact advising services.",,,Executive Director of Counseling and Advising,Counseling and Advising Executive Director,Executive Director,,"Leads districtwide advising vision, policies, equity systems. Demonstrates strategic leadership, project oversight, and team management responsibilities."
Spec Classroom Management,"Works directly with a classroom teacher to assist with the implementation of supports and services reflected in an individual education program (IEP). Provides support to teachers and students in a variety of tasks related to academics, behavior and physical logistics.  Coaches and encourage students to actively engage in the process of learning and becoming more independent.

","Associate's Degree Must have ìHighly Qualifiedî status from at least one of these measures: 1) 48 hours from an accredited college, 2) an Associateís Degree from an accredited college, or 3) current ìParaprofessional Praxisî distinction Required", Previous work experience with children under the supervision of other adults Required,"Provides small group instruction under the guidance and supervision of certificated personnel.
Facilitates and models appropriate social interactions and behaviors among students.
Assists in the personal care of students such as feeding, diapering, lifting, etc.
Monitors, collects and records studentsí behavioral and/or academic performance as directed by the teacher.
Actively engages with and consistently supervises all students throughout the day, e.g. attending a field trip, transitioning from class to class, escorting students to the restroom, etc.
Supervises groups of students during arrival, dismissal, lunch, and/or other activities designated by the teacher or administrator.
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans.
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, including training for proper restraint procedures.",,"Proficient in basic computer skills, especially Microsoft Word, Excel, and Outlook.",Spec Classroom Management,Classroom Management Para Professional,Para Professional,,"The qualifications for the role do not match those of other specialists, with no specific years of experience and only an associateís degree required. Furthermore, the additional qualifications match the educational requirements of other Para Professionals. The KSACs listed for Para Professionals matches well with the role. Specifically: classroom management, individualized education plans, problem solving, student assessment mentions, and communication."
Strategic Planning Specialist,"Coordinates inventory management for assigned schools and district departments.  Collaborates with other inventory staff to improve inventory processes, make recommendations regarding inventory software changes, and insures data integrity regarding inventory reconciliation.  Advises liaison inventory staff on best practices, resolving issues, and processes to complete inventory counts with accuracy and timeliness.","Coordinates inventory management for assigned schools and district departments.  Collaborates with other inventory staff to improve inventory processes, make recommendations regarding inventory software changes, and insures data integrity regarding inventory reconciliation.  Advises liaison inventory staff on best practices, resolving issues, and processes to complete inventory counts with accuracy and timeliness.", Minimum of two (2) yearsí applicable experience working in a large company  Required,"Trains district on the use of the inventory system along with the policies and procedures related to the tracking of inventory.
Troubleshoots and reconciles inventory issues.
Performs periodic inventory audits. Facilitates and assists with annual physical inventories and periodic unannounced cycle counts.
Manages inventory for assigned schools and other central office locations.
Collaborates with peers on where systems, procedures and policies could better be designed or employed to make the inventory process more stable or easier to use and works with management to implement these changes.
Leads school and Central Office personnel in accomplishing accurate and timely inventories.
Uses data analysis to make decisions. Recommends changes for improving the inventory system and procedures.
Provides management with reports necessary to determine the effectiveness of the inventory system and procedures employed.", Valid Tennessee driver's license  Required,A proficiency in asset management and inventory control required.,Strategic Planning Specialist,Inventory Control Technician I,Technician,I,"Matches the Technician KSACs, including troubleshooting, problem-solving, collaborates, and technical expertise. Based on qualifications and scope, position is level 1. "
Spec Data Ex Ed,"Ensures data integrity and supports the Department by assisting in maintaining SIS, SAS, Medicaid, and  Special Education Management software (EasyIEP) records. Maintains data integrity throughout the process of inputting, maintaining and reporting sensitive student data pertaining to enrollment, scheduling, withdrawal, and graduation data for PK-12 special education records. Keeps abreast of best practices in data quality management and maintains expertise in use of Microsoft Excel, Microsoft Word, SMS, EasyIEP, SAS, and EIS.Provide excellent customer service to MNPS Staff and other stakeholders. ",High School Diploma or GED Required,"1-3 years Applicable experience in database entry, retrieval, and reporting including customer service support experience Required","Registers students in SMS for assessments and completes enrollments for students who have Exceptional Education placement in the following programs:  Early Childhood, Community Based Transition Program, Special Day Schools, and Private School students with Disabilities.    Additionally, equest records and transcripts for students attending Special Education Contract schools, and verifies student eligibility for District enrollment..
Administrative duties within EasyIEP include:   Exceptional Education ADM reporting;password updates for District-wide personnel; creates and deletes user accounts; provides end-user support for EasyIEP; and student account management to include out-of-county transfer requests..
Assist with  attendance, grades and schedules for students with disabilities attending a contract school.
Creates and generates on-demand reports by compiling and analyzing data across multiple platforms.
Assists with Special Education data maintenance by managing shared folders and the Exceptional Education SharePoint sites.
Assists with Medicaid Reimbursement requirements such as form collection and provide reports as needed.
Enters out-of-zone approvals in SAS.
Develops and maintains positive working relationships with personnel from central office, MNPS schools, and outside agencies.",," Excellent communication, attention to detail, good problem solving skills, strong customer service orientation
Proficient in Microsoft Office Suite",Spec Data Ex Ed,Data Exceptional Education Clerk,Clerk,,"While the degree requirements are low, only a high school diploma, the experience required is highly specialized and focused specifically on the essential functions of the role. However, the essential functions seem to be better matched with the KSACs of a clerk. While the role is designed to ensure data integrity, it does this more through key KSACs of the clerk Role: data entry, record-keeping practices, computer skills, attention to detail, and organizational skills; rather than through any real analysis. Providing customer service is also a key facet of the role, which is another KSAC of the clerk role."
Classroom Support Specialist,"The Senior Account Clerk is responsible for providing financial, administrative and clerical services to the department. This includes opening department mail, data entry, triaging invoices for processing, manning the accounts payable mailbox by printing invoices and responding to inquiries of payment status to ensure timely feedback to vendors, employees, and stakeholders.","The Senior Account Clerk is responsible for providing financial, administrative and clerical services to the department. This includes opening department mail, data entry, triaging invoices for processing, manning the accounts payable mailbox by printing invoices and responding to inquiries of payment status to ensure timely feedback to vendors, employees, and stakeholders.",,"Open department mail and distribute daily.
Sort, date stamp, and distribute invoices for the accounts payable workflow process.
Handle the accounts payable electronic mail box which has a huge influx of activities.
Respond to accounts payable inquiries via email and phone calls.
Perform data entry into Microsoft Access Database.
Manage short vendor forms for approval.
Procure department orders and cover department phones as needed.
Perform other clerical duties as assigned.",,"Ability to maintain confidentiality concerning financial files; excellent interpersonal skills; team player; effective verbal and listening, communications skills; demonstrate sound work ethics; respectful, honest and trustworthy.
Ability to perform office work with speed and accuracy, establish and maintain effective working relationships, great customer service, and Knowledge of departmental accounting methods and procedures; practices and terminology used in fiscal record keeping work.",Classroom Support Specialist,Accounting Clerk I,Clerk,I,"Matches the Clerk KSACs, including Data Entry, Computer Skills, and Customer Service. Position has no real span of control, minimal scope that only affects the work unit, and performs semi-routine work, placing it at a level I."
Applications Specialist,"Position for a BCBA on the Behavior Support Team (BST) under the SEL/Student Support Services Department primarily supporting a cluster of schools within the district. Responsibilities include building capacity at the school level through training MNPS employees in implementation of evidence-based practices and behavior analytic strategies, providing behavior support through consulting, modeling and coaching of strategies across all three tiers to school staff, and conducting functional behavior assessments and/or analysis. ","Position for a BCBA on the Behavior Support Team (BST) under the SEL/Student Support Services Department primarily supporting a cluster of schools within the district. Responsibilities include building capacity at the school level through training MNPS employees in implementation of evidence-based practices and behavior analytic strategies, providing behavior support through consulting, modeling and coaching of strategies across all three tiers to school staff, and conducting functional behavior assessments and/or analysis. "," Experience using Excel, Powerpoint and other technology related to staff training and data analysis  Required","Provides observations of students referred to BCBA by school team, makes behavior recommendations, assists with implementation by modeling secondary interventions, provides coaching and feedback to school staff, and focuses on building capacity.
Conducts functional behavior assessments (and analyses, if warranted) utilizing direct and indirect assessments, develops behavior intervention plans, and develops safety plans, if warranted. Maintains student on caseload while monitoring data and modifying plan as indicated by data.
Develops and conducts professional development for MNPS staff on behavior analytic practices and evidence-based procedures to support all tiers within the general education setting. Professional development may also be customized to meet the needs of the individual schools.
Supports teachers in classroom management through observations, individualized consultations, modeling of strategies, and providing feedback.
Serves as an external behavior coach to schools, including those employing RTI2-B (PBIS), by attending their monthly MTSS meetings, developing data collection systems, analyzing school wide behavior data, and ensuring continuous & effective implementation of tiered strategies.
Works in conjunction with Cluster Support Teams to address student, school and district needs/priorities including social-emotional needs; attends district, quadrant, school and team meetings, as needed; completes action items as assigned.
Provides direct services to students in crisis through verbal de-escalation and maintaining their safety and the safety of others.
Collaborates with outside service providers including university and state professionals in support of research and implementation of evidence-based practices.
Complies with both MNPS and BACB standards in ethical handling and management of student data, documentation.
Maintain good standing and certification through the requirements of the BACB, complete annual renewal of certification, maintain state licensure requirements set by TN Dept of Health, and comply with the BACBís ethical code of conduct."," Board Certified Behavior Analyst (BCBA) Upon Hire Required
 Ability to obtain TN License (LBA) within 1 Year Required","Effective communication and collaboration as a multi-disciplinary team member.
Ability to train on behavior analytic topics within small and large group settings",Applications Specialist,Behavior Support Therapist,Therapist,,"Matches the Therapist KSACs, including Therapiy Techniques, Client Assessment, and Crisis Intervention."
School Specialist,"Executes activities related to the implementation, enhancement, maintenance, and support towards successful application administration and end-user success.    Provides technical advice and support to ensure an application's reliability, functionality and value in the district.  Implements product strategy that supports business requirements, adopts industry best practices and maximizes value and engagement of end-users.", 4 years of college or relevant experience Required,4-6 years in a technical/analytical role Required,"Supports the product through its lifecycle by advising in planning sessions, engaging in testing and implementation, resolving escalated issues and taking ownership in other complex support needs.
Assists the Product manager and other stakeholders in developing and executing standards, procedures and processes to continually improve the effectiveness and efficiency of the assigned product.
Collaborate with the business analysts and other technical teams and stakeholders to manage and implement changes to functional requirement documents.
Analyze application roadmap, trends and organizational needs.  Works with product manager and specialists to help develop a strategy to resolve current issues and mitigate organizational risk.
As the subject matter expert for the assigned product(s), advise the product manager, other leadership and stakeholders in ways to mitigate risk and make improvements for the assigned product.
As the subject matter expert for the assigned product(s), collaborate with the product manager and support the training team to ensure effective documentation, training resources and as needed, lead specialized training.
Assist the product manager in the application‚Äôs releases and updates, and the district‚Äôs start of school, end of year processing and other events as it relates to the application and product cycle.
Serve as technical mentor and resource for specialists and other members who may support the assigned product(s).", Relevant IT industry certification  Required,"Strong analytical and troubleshooting skills.
Understanding of enterprise level applications and data systems.
Strong written and verbal communication skills; able to communicate effectively with technical and non-technical customers and stakeholders.
Collaborate with cross functional teams.
Adapt quickly to quickly changing requirements and conditions.",School Specialist,Enterprise Applications Developer,Developer,,"Matches the Developer KSACs, not a perfect match, but the best. May need to work on IT roles."
Audit & Compliance Specialist,"Apply secretarial science techniques to assist an executive in the management of time and in the handling of administrative detail so that the executive may be more effective and efficient in action.  Possesses a mastery of office skills, demonstrates the ability to assume responsibility and judgment and makes decisions within the scope of assigned authority.",High School Diploma or GED Required, Five yearsí directly applicable experience working in a high volume office Required,"Possesses a mastery of computer and office skills, demonstrates the ability to assume responsibility without direct supervision; exercises initiative and judgment and makes decisions within the scope of assigned authority.
Reviews and distributes mail, independently composes correspondence concerning routine matters and mails same, keeping supervisor informed of such; organizes and updates filing; maintains and organizes office supply inventory; records and maintains agenda for meetings of the Board; develops and manages budget accounts for Division.  Compiles, documents, processes and verifies payroll. May keep track of leave time for employees and all mileage reimbursement for itinerant staff.
Screens and directs calls and visitors; answers questions as appropriate in order to relieve executive of details; listens, advises and communicates with disgruntled individuals on a regular basis that involves discussing Board policies.
Routinely arranges and monitors appointment calendar for executive; prepares for meetings by routinely gathering and ordering materials necessary for proper conduct of meeting.
Completes various detailed reports for Local, State and Federal Government offices.
Maintains scheduling and event calendars. Schedules and confirms appointments for clients, customers, or supervisors.
Performs various office tasks; assists co-workers as required to ensure efficient office management.",,0,Audit & Compliance Specialist,Administrative Assistant I,Administrative Assistant,I,"Matches the Administrative Assistant KSACs the best, including Office Administration, Calendar Management, and Correspondance Management."
