Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Designer STEM Instructional Lead,"At the direction of the Department of Curriculum and Instruction, the District Lead STEM Instructional Designer builds district capacity in standards-based authentic learning through the development and facilitation of comprehensive STEM curriculum. In collaboration with the STEAM/Science department, the District Lead STEM Instructional Designer supports the goals and mission of the Curriculum Department to provide students with the knowledge, skills, and experiences they need to solve the problems of the 21st Century as they move into high school, college, and careers.",Master's Degree With five years of experience Preferred," Five years’ experience of proven instructional leadership as a Dean, Assistant Principal, or Instructional Coach Experience and knowledge of STEAM curriculum, project management, adult learning theory, professional development best practices, grants, and curriculum development    Preferred","Leads development of a comprehensive STEM curriculum and the process for the evaluation, selection, and acquisition of instructional materials, supplies, equipment and other resources to support the curriculum.   Collaboratively plan, design and develop in person, online and/or hybrid courses, modules, learning objects, learning materials, asynchronous and synchronous learning activities, and other related materials to implement the STEAM mission/vision.  Included, but not limited to designing and facilitating professional development experiences with STEAM educators and partners  through to a core set of beliefs about teaching and learning, ongoing professional development, and active team membership..
Extensive knowledge of curriculum; as well as possess technical knowledge and skills  to operate current and cutting edge STEAM technology and embed into the curriculum.  Included, but not limited to analyzing data and information that show evidence of effective decision-making skills and management skills; and evidence of enthusiasm, job tolerance, initiative and strong work standards for self and others.
Builds district capacity of funded STEM grants through the facilitation of high-quality STEM programming that aligns with state education standards and district scope and sequence;
Work with the Executive Director of STEAM and Science, and other district staff to implement the STEAM program. In addition to, work with district level curriculum specialists to ensure the integration and coordination of the STEAM mission and vision and the comprehensive school reform model with the district’s program. Work with the District STEAM Department and other district staff to implement STEAM?
Coordinate instructional design projects from inception to completion, document those projects and processes, measure results, and write reports. Ensure projects meet accessibility and university design for learning standards for quality and innovation.
Active knowledge & interest in STEM learning theory and emerging approaches to STEM-focused learning, including, but not limited to, Engineering Design Process, Problem Based Learning, social networking, mobile learning, and authentic learning while maintaining progressive knowledge of the trends in instructional design, learning methodologies and learning technology solutions.
Commit to a core set of beliefs about teaching and learning, ongoing professional development, and active team membership.", Certificated teaching license in Tennessee  Required,"Strong interpersonal and leadership skills;
Ability to relate and interact positively with teachers, other staff, students, administrators, central office personnel, parents, and the public;
Ability to communicate effectively in written and oral form;
Competency in adult learning theory and the development and leadership of professional learning opportunities for instructional staff and parents"
Veterinary Technician,"Provides Animal Care by interviewing owners; reviewing care plans and records; completing laboratory tests, studies and diagnostic imaging; taking vital signs; collecting samples; administering medications, drugs, and vaccines; bandaging and wrapping wounds; performing hydrotherapy, and physical and inhalation therapies; assisting during operations; feeding and caring for animals; maintaining supplies and equipment; maintaining records.",,"1-3 years experience as a veterinary technician.
4-6 years experience as a veterinarian assistant or other fast-paced customer service role.","Determines animal care requirements by conducting examinations; interviewing owners; reviewing care plans and records; completing laboratory tests and studies and diagnostic imaging.
Cares for animals by taking vital signs; collecting samples; administering medications, drugs, and vaccines; bandaging and wrapping wounds; performing hydrotherapy, and physical and inhalation therapies.
Supports animal examinations by assembling required supplies and instruments; securing and bringing animals to examination room; restraining animals; providing assistance as needed; explaining animal’s status to owner.
Supports animal operations by assembling required supplies and instruments; setting-up surgery table instruments; restraining animals; completing local/regional anesthesia; operating and monitoring anesthetic machines; hooking-up ECG monitors; preparing surgical site; placing catheters; obtaining blood gases; cleaning-up post-surgical site; maintaining sterile conditions; obtaining and verifying medications.
Maintains animals by feeding and watering animals; cleaning animals’ rooms, cages, and equipment; changing cages; observing for clinical signs of disease.
Maintains safe, secure, healthy and humane environment by sterilizing and wrapping instruments; sanitizing and disinfecting holding and operating areas; storing sterile supplies; verifying shelf life; following standards and procedures; complying with legal regulations.
Maintains animal care records by documenting animal conditions, reactions, and changes; updating database.
Ensures animal care equipment operation by completing preventive maintenance requirements; following manufacturer's instructions; troubleshooting malfunctions; calling for repairs; maintaining equipment inventories; evaluating new equipment and techniques.
Keeps animal care supplies ready by checking stock; anticipating needs; placing and expediting orders; verifying receipt; stocking items.
Improves animal care job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.
Contributes to animal care and veterinary practice success by welcoming related, different, and new requests; helping others accomplish job results.","Licensed Veterinary Technician-NAVTA
","Knowledge, understanding, and commitment to working with animals.
Ability to recognize, analyze, and solve a variety of problems.
Proficient in Microsoft Office applications.
Excellent communication skills both written and verbal."
Senior Engineering Technician,"Supports engineering activities such as design, test, check-out, modification, fabrication, and assembly of prototype electro mechanical systems, experimental design circuitry, or specialized test equipment.  Works with applications such as analog, digital and/or video circuits, and logic systems.  Works from schematics, diagrams, written and verbal descriptions, layouts, or defined plans to perform testing, checkout, and trouble-shooting functions.  Performs operational test and fault isolation on systems and equipment.  Assists in determining methods or actions to remedy malfunctions.  Assists in the design, construction, test, and check-out of test equipment.  Uses manufacturing, test, development or diagnostic equipment including, but not limited to, test programs oscilloscopes, signal generators, and specialized test apparatus.",,"7-9 years ISP/OSP experience
10+ years ISP/OSP experience","Prepares drafts of construction plans to clearly illustrate the project for the contractor, resident engineer, and others involved in the project.
Assists Engineer in completing the initial and construction survey.
Prepares plans, specifications, estimates, right-of-way plats, and other reports and documents under the direction of the Engineer.
Builds or sets-up equipment.
Prepares and conducts experiments.
Collects data.
Calculates or records results.
Assists engineers in design work which may involve using computer-aided design and drafting (CADD) equipment.
Assists engineers in product design.
Assists engineers in product development.","Certified Engineering Technician
Certified Engineering Technologist","Strong knowledge of electrical/electronic components and test equipment.
Ability to read and understand schematic diagrams.
Ability to train others.
Excellent communication skills both written and verbal."
Bank Portfolio Management Investment Analyst,Recommends Investments by surveying and tracking markets and economic developments; studying potential return on investment and risks; analyzing financial reports; investigating questionable issues; completing reports; presenting options and evaluations; explaining opportunities and risks; monitoring performance; anticipating adverse performance; recommending changes and sales.,,"1-3 years Proven experience with advising and investment guidance
4-6 years Demonstrated passion for investing","Develops investment information by surveying and tracking markets and economic developments; developing rapport with members of the financial community.
Selects investment opportunities by studying potential return on investment and risks; analyzing financial reports; investigating questionable issues.
Prepares investment recommendations by completing reports; presenting options and evaluations; explaining opportunities and risks.
Protects investments by monitoring performance; anticipating adverse performance; recommending changes and sales.
Completes investments by executing trades.
Maintains customer confidence and protects bank operations by keeping information confidential; cautioning others regarding potential breaches.
Maintains organization reputation by complying with federal and state regulations; helping others comply.
Improves investment job knowledge by monitoring regulatory changes; attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.
Contributes to investment management and bank success by welcoming related, different, and new requests; helping others accomplish job results.","Certified Investment Management Analyst (CIMA)
","Excellent communication skills both written and verbal
Detail-oriented and open to new ideas
Flexibility with a team player attitude
Sets and achieves challenges goals"
Tech Accounting Accounts Payable I,"This position is responsible for providing financial, administrative and clerical services. This includes processing and monitoring payments and expenditures using the JD Edwards System. Providing these services in an effective and efficient manner will ensure that MNPS vendors and suppliers are paid within established time limits.","Associate's Degree in Business, Accounting, or Finance or any combination of education and experience equivalent to graduation from high school and three years varied and increasingly responsible experience in keeping or reviewing financial records Preferred"," Three (3) years of applications, technical and or financial related experience, including two (2) years of experience in a governmental accounts payable, or similar financial environment Required","Monitor the AP Mail box and scan invoices daily into Kofax Capture V8 after review.
Validate invoices in Application Xtender V5.4 to ensure accuracy of all invoice information before it is processed for payment.
Review invoices for duplicates in scanned documents using the JD Edwards System.
Receive and match vendor invoices to the supporting purchase orders and receiving entries or reports.
Ensure that payments to vendors are made on time as per the established terms.
Verify vendor address book information using the JD Edwards System and work with Metro Finance to maintain vendor files to ensure proper remit addresses.
Work the A/P hold items daily to release for payment processing.
Keep up with discounts, notice of corrections, and follow-up on vendor inquiries.",,"Skill in the use of Microsoft Word, Excel, Access, KOFAX, JD Edwards, and other software applications.
Excellent customer service and communication skills.
Detail oriented.
Ability to deal effectively with the public.
Ability to establish and maintain effective working relationships
Ability to handle large volumes of transactions.
Time management oriented to meet production deadlines."
Manager Telecommunications Operations,The Mgr Telecommunication Operations provides leadership of the Telecommunications Broadband and Wireless Operations teams in Electric Delivery.,,,"Implement, support and maintain Tampa Electric's smart grid communication network. Develop and maintain strong business relationships with Energy Delivery, Energy Supply, and Information Technology to provide SCADA and other corporate communications. (20%)
Manage the operational functions of Tampa Electric's fiber optic/microwave/wireless networks to maintain high system reliability in the most cost-effective manner possible. These systems support vital company functions including SCADA (Supervisory Control and Data Acquisition), protective relays, substation fault recorders, RTU communications, tie line telemetry that provides interconnection to other utilities, AMI meter communications, radio communications, LAN/WAN/Voice data communications, and physical security video communications. (20%)
Collaborate closely with the Mgr Telecommunications Engineering to support the implementation of new technologies and upgrades to existing infrastructure. These Technologies include the Private LTE (private cellular) network, new fiber construction, splicing, and configuration of high-speed electronic equipment across the fiber network, microwave radio upgrades, emergency 800Mhz voice radio, and tower construction projects. (10%)
Responsible for adhering to all compliance requirements including team member training and documentation of systems and circuits. (10%)
Work closely with Telecommunications Engineering to carry out the efficient and orderly expansion and maintenance of Tampa Electric's broadband and wireless networks. (10%)
Responsible for developing and maintaining budget goals and objectives. Provides monthly forecasts, variance explanations, and direction regarding budget constraints. Ensures accuracy of project charges and time reporting. (10%)
Work with the Manager of Telecommunications Engineering to support the Safety Management System and the disaster recovery procedures and provides backup capabilities for critical network infrastructure. (10%)
Support and maintain all operational aspects of the Metro-Link profit center. (10%)",," Work with the Manager of Telecommunications Engineering to support the Safety Management System and the disaster recovery procedures and provides backup capabilities for critical network infrastructure.
Knowledge/Skills/Abilities (KSA)"
SPEC Community Partnerships,"The Community Partnership Specialist is responsible for establishing and maintaining relationships with community organizations that support and collaborate with the Homeless Education Program.  The specialist will host community meetings, organize events and develop newsletters and social media posts. This position is contingent upon grant funding and continuing availability of funds and is anticipated to last through June 30, 2023.  
","Bachelor's Degree in communications, marketing, public relations or non-profit management Preferred","  2 years experience working in communications, volunteer recruitment or non-profit management Required","Conducts regular outreach and collaboration with existing program partners, including large group meetings, individual site visits and newsletter/email communication.
Identifies and recruits new program partners based on identified gaps in service and develops these relationships to meet program goals.
Provides monitoring and oversight for community agencies receiving sub-grant funding for student identification project and outreach.
Manages Purposity and Soles4Souls Initiatives
Organizes community events and collection drives to solicit needed donations.",,Excellent oral and written communication skills
Accessibility Specialist,"Checks and verifies company products and systems are in full function to users. Maintains knowledge of the impact accessibility has on the operations of business; legal requirements, standards, and procedures. ",,"4-6 years experience designing, developing, and evaluating web-based content. Exposure to JavaScript and HTML code. Experience with usability testing in iOS and Windows environment.
7-9 years experience as an accessibility consultant.","Reviews company applications for accessibility.
Maintains database of current products, codes, and standards as it pertains to accessibility.
Provides code samples to optimize user ability of business websites.
Partners with internal teams to maintain standards and convert accessibility for web applications.
Stays abreast with industry technology and standards.",,"Strong technical acumen and understanding of best practices.
Knowledge and understanding of Section 508 of the Rehabilitation Act.
Knowledge of user-end impacts of web accessibility.
Knowledge of WCAG 2.1 Standards and contextual implications.
Knowledge and understanding of programming languages (e.g., HTML and JavaScript).
Proficient in Microsoft Office applications.
Ability to communicate effectively in both oral and written form."
"Mgr, Ops",This position is responsible for getting information from other airlines for service.,,,"Coordinates services between the kitchen and drivers, while controlling activities on the receiving dock
Creates assignments for team drivers and assignments to flights
Checks dock area to ensure employees have all required equipment and that trucks leave according to schedule dock departure
Ensures all teams are catering correct aircraft and flights
Ensures employees are in compliance with safety procedures
Assists teams with late flights and equipment changes
Responsible for getting information from other airlines for service
Maintains radio contact with superintendent, meal planner and leads during operation.",,"Must have strong and effective leadership skills and have successfully managed a staff of 20-30
Ability to handle multiple tasks without losing priority
Candidate should be comfortable with all levels of employees and have the ability to drive positive program change
Ability to work outdoors 75-80% of the time"
Supv School Security,"The essential function of the position within the organization is to assist the Field Manager in managing, organizing, and directing activities relating to the safety of the district's students, staff, visitors, and the security of all properties under the control and supervision of the school district. The position is responsible for assisting the Field Manager in providing supervision of Security Leads, Security Officers, K9 Officers, K9's and Dispatch personnel; assisting in maintaining  the Report Management System and the Computer Dispatching System
","Bachelor's Degree in Business Administration, Criminal Justice (Law Enforcement), Education, or a related field Required",4-6 years related experience  Required,"Review security reports, investigative reports, and / or administrative documentation for completeness, thoroughness, and factual accuracy; and for items needing additional follow-up.
Reviews and timely submits time sheets/Kronos inputs to ensure that officers are paid appropriately according to Human Resources policies.
Ensures that Security Officers report on-time according to their schedule, attired in the proper uniform.
Coordinates and organizes white fleet and yellow fleet vehicle accident, incident and vandalism information ensuring a thorough investigation and all information related to the accident, incident or vandalism is transmitted to the proper persons or agencies.
Participates in screening, evaluating, hiring and training of personnel needed to facilitate the Security Program.
Responsible for scheduling, organizing, and supervising random drug and weapons searches in schools, athletic events, graduations, etc.
Implements security standards, policies, and procedures. Assists in planning security for special and high-risk events.
Plans, directs, or coordinates security activities to safeguard district assets, students, employees, guests, or others on district property. Assist in emergency management and contingency planning. Coordinate security operations or activities with public law enforcement, fire and other agencies.","DL NUMBER - Driver License, Valid and in State  Upon Hire Required or
CDL License  Upon Hire Required
 Must meet training standard or certification requirements in effect if law enforcement equipment is authorized for position
 Upon Hire Required",
Tier II Field Technician,The Tier II Technician / Installer will provide support and guidance for other Field Service technicians.,,,"The Tier II Technician/Installer will be part of the team to drive the success of the region by working cross-functionally with customer success, internal and external IT groups, customers, subcontractors, and suppliers to ensure timely and efficient completion of projects and service initiatives to maintain system uptimes.
Meeting customer needs and addressing customer service issues promptly
Proactively communicating with customers and team members
Overseeing subcontractors on service projects and new installations",,"Intermediate knowledge of computer networks, including TCP/IP, DNS, DHCP, Gateways, routers, switches.
Intermediate knowledge in the use and applications of Access Control, Intrusion and Video Systems.
Intermediate knowledge in the deployment of large, complex IP Video Surveillance Systems.
Working knowledge of electronic and digital test equipment such as oscilloscopes, multi-meters, and digital cable analyzers.
Ability to read and interpret blueprints, diagrams, submittals, specifications, software/systems programs, schematics, and operational/product manuals.
Ability to work overtime, alternate shifts, weekends and take on call to meet customer requirements.
Strong organizational skills, detail-oriented ability to multi-task
Ability to identify and resolve problems in a timely manner gather and analyze information skillfully
Ability to lift equipment and tools up to 50lbs."
Adult Day Program Specialist,Participates in community activities with consumers as assigned by Senior Habilitation / Vocational Specialist.,,,"Serves as an advocate for all Pillar Care Continuum Day Program Consumers setting an example to staff that protecting and promoting dignity, respect, independence, health and safety is our primary commitment and responsibility.
As guided by Senior Habilitation / Vocational Specialist, serves on team within designated area of responsibility to determine daily program activities for each individual.
Assists consumers to achieve greatest degree of independence by supporting participation in program activities providing opportunities for choices at all times may provide tutorial attention to consumers in pursuit of IHP goals and objectives.
Participates in community activities with consumers as assigned by Senior Habilitation / Vocational Specialist.
Assists consumers with personal needs including transferring, toileting, cleaning, grooming and feeding.
Collects and records data as directed including completing daily DTR's within the Electronic Client Record. Responsible for recording daily attendance within the Electronic Client Record.
As instructed by Senior Habilitation / Vocational Specialist and Behavior Coordinator, initiates or implements recommendations and/or behavior plans and maintain related documentation.
Attends and participates in staff meetings, individual supervision meetings and trainings as assigned attends off-site trainings, and conferences.
Drives a van route, serves as a van aide, as assigned by a supervisor or transportation coordinator.
Performs other functions as directed by supervisor, CPNJ management, or funding source representatives",,"Knowledge of various types of developmental disabilities
or an equivalent combination of education and experience demonstrated ability to engage in strenuous physical activity"
Applications Systems Analyst II,"Serves on the organization's IT team at a Tier II level. Performs evaluations, design, and development of application systems for the business. ",,7-9 years Experience in an applications analyst role at full capacity.,"Consults with management to identify goals and objectives to take action to design application to meet those objectives.
Gathers requirements, develops specifications, and identifies format to meet user needs.
Enters and ensures validity of data entered into established tables, fields, and system databases.
Determines the feasibility of implementing technology solutions by preparing cost-benefit and return-on investment (ROI) analysis.
Manages the implementation of software and hardware components for applications; coordinates tests to optimize performance, and create flow charts for users to follows; investigates problems and recommends solutions.
Interfaces with all areas affected by the project including customer, computer services, and client services.
Assists in system studies in programming for various applications; recommend program methodology to be followed, assuring programming compliance with established documentation standards.
Manages the function responsible for researching, tracking, and understanding new web technologies and providing leadership for development of service applications and analyzing business requirements as they pertain to intranet and external Internet-related systems.
Provides technical support, assistance and information to users; train users in system operations as necessary; coordinates communication and activities with users to review and analyze user problems and needs; provide work direction to assigned programmers.
Compiles information and data and prepare various reports related to computer systems and functions; document system software and hardware as necessary.
Identifies and implements best practices and procedures in application systems development.",Microsoft Certified Solutions Associate (MCSA),"Knowledge of systems development and integration for new technologies.
Knowledge of scripting, coding, and application software.
Very strong customer service orientation.
Excellent written and verbal communication and presentation skills as well as, technical writing skills.
Knowledge of applicable laws and regulations as they relate to IT."
Assistant Director of Alumni Affairs,"Designs and leads a comprehensive engagement strategy for student-alumni.  Oversees relationship management between a university and its alumni. Serves as a connection between the graduates and the university community. Advances university/college goals by developing and executing the core alumni relations portfolio, including outreach, engagement, and stewardship of alumni, alum donors, and friends. Guides management staff in the administration of alumni affairs programs and implementation processes. Develops key performance indicators to determine programs success and effectiveness. ",,"4-6 years 5+ years of relevant experience or equivalent combination of education and experience in alumni relations.
7-9 years Experience in an academic, non-profit and/or development environment.","Integrates an alumni program into the broader University-wide Alumni Relations initiatives.
Develops and guides the development of a  Alumni Association.
Develops content and enhances alumni engagement, and effectively market programs and services to alumni.
Increases communications with alumni by collaborating  to develop content and enhance alumni engagement, and effectively market programs and services to alumni.
Manages and supervises staff members for alumni, cultivation and recognition events.
Develops communications campaigns and regional events that cultivated alumni donors for higher giving plans and special projects.
Strengthens professional community by developing alumni career services and mentoring programs to bridge the gap between generations of alumni.
Promotes positive relationships between Alumni Association, Alumni Association Board, and College constituencies Planned and executed Alumni Association out-of-state events.",,"Alumni Engagement Strategy High
Event Planning and Execution High
Alumni Communication Management Medium
Volunteer Program Development Medium"
Bid Analyst,"Performs project management duties for bids in assigned territories to produce directives and implement bid proposals for company products. Provides timely responses to competitive bids and quotes for products. Interfaces with the sales team, vendors, and various internal departments to respond to pricing requests with winning proposals in a timely manner. ",,"4-6 years Experience in an analytical role with management of writing responses to RFP's, RFI's, RFQ's.","Provides analytical support to senior management by developing financial models in support of crucial RFP opportunities.
Aids in the RFP bid process by communicating to internal stakeholders net cost disadvantages, packaging discrepancies, and product voids.
Ensures data accuracy by reviewing complex data sets and performing data mining techniques.
Meets customer requirements by coordinating with multiple divisions to ensure accuracy of information and achieving deadlines.
Extracts business intelligence on targeted industries and corporations by researching and analyzing financial statements and industry reports.
Determines projected profits and losses by preparing estimate-to-actual analysis of RFQ data to make recommendations on pricing.
Performs competitive analysis, developed bid pricing negotiations, and interfaced with management, technical staff and support personnel.
Sources bid opportunities by identifying products and related competitive pricing for strategic, national, and local markets.",Certified Proposal Management Professional -APMP,"Ability to work under pressure to meet deadlines
Strong time-management and organizational skills.
Strong oral and written communication skills
Proficient in Microsoft Office applications.
Proficient with Microsoft Excel, Access and SQL."
Purchasing Technician,Maintains Inventories by checking stock; verifying purchase request specifications and prices; inputting purchase orders and service requests; expediting delivery; settling discrepancies.,,"1-3 years experience relevant to job duties.
4-6 years experience in a purchasing role.","Verifies inventories by checking stock.
Orders materials by verifying purchase request specifications and prices; inputting purchase orders and service requests.
Obtains materials by expediting delivery.
Authorizes payment by comparing receiving report to invoices; settling discrepancies.
Keeps purchasing and inventory information accessible by sorting and filing documents.
Updates purchasing job knowledge by participating in educational opportunities.
Contributes to purchasing and organization success by welcoming related, different, and new requests; helping others accomplish job results.",Certified Purchasing Professional (CPP),"Ability to maintain records of materials, supplies, time, and work performed.
Ability to perform advanced mathematical functions.
Ability to follow safety protocol and handle hazardous materials.
Excellent communication skills both written and verbal."
Spec IT Enterprise Support Resource,,,,,,
Application Systems Analyst II - Kronos,"Serves as Level II subject matter expert and main contact for Kronos application. Builds, installs, and supports Kronos application. Interprets policies, analyzes workflows, and procedures to ensure alignment with business operations. Conducts investigations to determine specifications and application functionality; documents all findings. Identifies opportunities for improvement by working with end users to develop proposals.  Reports to Applications Manager. ",,7-9 years Experience in a Kronos support role in a healthcare setting. Or Experience in an application design and implementation role,"Initiates projects by gathering and analyzing user requirements, test planning and develops system to meet end user needs; implements plan to stay on track with project deadlines.
Partners with management to understand business requirements and builds workflows; incorporates effective solutions while engaging with key end user representatives.
Responds to inquiries and delivers support during go-live periods and post live periods to identify and troubleshoot issues; working promptly to resolve issues within a timely manner.
Implements revised or new system requirements and procedures; creates documentation.
Plays a leading role for projects including programming, maintenance, technical support, documentation, and administration of the applications.
Ensures that change management projects manage risk to applications and technologies.
Defines, measures, and meets key operational metrics including performance, incidents and chronic problems, traffic and conversion, etc.
Sets up, tests, documents, audits, and maintains configurations in the various instances of the HR systems (dev, test, and prod) required to support ongoing systems performance, changes in business policies and procedures, changes in regulatory compliance, and/or to implement new functionality.
Collaborates with end-users, IT teams, managed services, external vendors, auditors, etc.
Improves computer hardware job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.",,"Knowledge and understanding of Kronos workflow associated with staff scheduling, time and attendance.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal.
Very strong customer service orientation."
Associate Category Analyst,"Provides category reporting for the organization by developing and implementing analytical processes. Plays a critical role in assessing trends, understanding the market, and strategizing how to gain traction in the market. Leverages analytics by mining and analyzing data and drawing conclusions. Drives improvement and expansion of analytics within the organization. Reports to Manager - Category. 
",,1-3 years analytical background with a solid ability analyze data and pricing to influence strategy,"Creates strategy for product assortment, price, and promotions.
Meets revenue and gross margin targets while increasing conversion and customer satisfaction.
Becomes an expert in market/product trends, comp shop, customer feedback, and the supplier landscape to provide product and strategy recommendations.
Collaborates with Sr. Category Analysts, Operations, Data Analytics, and other teams to ensure product strategy is well-executed and goals are met.
Tracks and analyzes sales, promotions, and competitive information to drive growth.
Establishes working relationships with local and regional suppliers while also acting as the main point of contact for prospective business and supplier partners.
Builds and maintains assortment strategies aligned with unique market requirements regarding volume, size, distribution, and local trends.
Prepares business analyses, including revenue, gross margin and competitive.",Certified Marketing Research Analyst,"Proficient in Microsoft Office applications.
Excellent communication skills both written and verbal.
Knowledge of B2C marketing, such as digital advertising, direct response marketing, CRM, database marketing.
Strong analytical skills and evidence of creative, proactive problem solving"
"Analyst, Product Mgmt & Development","The Analyst, Product Mgmt & Development performs the initial review of product onboarding within the alternative investments market. Provides support for alternative investment market developments, data collection, and reporting. ",,"less than 1 year Experience working in a banking environment.
less than 1 year Experience in product development.
less than 1 year Experience in the alternative investments market.","Complies market data on trends; assists in the identification of opportunities and possible risks in the alternative investment market.
Prepares alternative investment marketing collateral for investors and clients.
Develops and designs procedures for new alternative product offerings.
Tracks regulatory changes within the alternative investment industry and monitors competitors for pricing, policy, and platform experience.
Works with a team of product development associates and assists in the creation of new alternative products.
Organizes alternative investment product documents, investment memos, and subscription agreements.
Coordinates the fundraising process for new alternative product offerings.",,
Applications Analyst - EPIC Cadence,"Serves as subject matter expert on assigned EPIC software; specifically EPIC Cadence module. Implements, supports, and maintains EPIC Cadence clinical or financial applications. Partners with project teams, representatives, experts, and end users to effectively integrate applications into business operations. Conducts analysis of workflows, collects data, and generates reports to identify technical issues related to EPIC Cadence module. Designs, builds, and installs solutions by developing and documenting internal procedures to be used with EPIC applications. Reports to Applications Manager. ",,"4-6 years Experience in an IT applications support role.
7-9 years Experience working in an IT applications role specifically EPIC with specialized knowledge in EPIC Cadence module.","Partners with Applications Manager to generate workflows and conduct a review of project scope and timelines; documents business operations; ensures appropriate testing to validate workflow from end-to-end.
Interfaces with departmental leadership, hospital personnel, and vendors to manage project tasks and provide updates; documentation, procedures, data and process flows, and deliver recommendations for system enhancements.
Provides on-site support during implementation, go-lives, and system upgrades to end users.
Evaluates new releases and makes recommendations and enhancements; troubleshoots end user problems and provides on-call support.
Trains lower level staff in the implementation and problem resolution of an application by planning, scheduling, assigning, coordinating, and evaluating tasks performed by project teams; delivers continuous feedback and participates in the performance evaluation process.
Supports training team by providing updates on system changes and functionality.
Improves computer hardware job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.",,"Proficient in applications, computer systems, and interfaces.
Knowledge of HIPAA laws and regulations within a healthcare environment.
Ability to recognize, analyze, and solve a variety of problems.
Ability to analyze, organize and prioritize work while meeting multiple deadlines.
Ability to work independently with minimal supervision."
"Analyst, Renewable Energy Investments",The Renewable Energy Investment job provides analytic support for renewable energy investment activities across the department. Monitors the renewable energy investment team and ensures adherence to organizational compliance and objectives. ,,"less than 1 year Experience with alternative investments.
less than 1 year Experience working within a banking institution.
less than 1 year Experience with renewable energy investments research.","Provides analytical support for renewable energy investment activities and develops key performance indicators that measure progress.
Develops analytical reports on renewable energy investments and distributes amongst management.
Assesses outcomes of sustainability initiatives and makes recommendations for renewable energy investment strategy based on analytics.
Coordinates analytical support across the department and tracks performance for the renewable energy investments platform.
Performs qualitative and quantitative analysis of social and environmental mega-trends that may affect renewable energy investments.
Disperses communications on renewable energy investments across the department and defines alignment with organizational objectives.
Monitors renewable energy investment metrics and ensures best practices and compliance with responsible investing standards.",,
Tire Technician,"Performs tire maintenance, repair, and replacement on vehicles such as cars, trucks, and trailers. Inspects tires for damage or wear, rotates and balances tires, and handles patching or replacement for optimal performance. Checks tire pressure, installs new tires, and ensures proper alignment. Delivers high-quality customer service, recommending tire replacements when necessary. Assists with basic vehicle upkeep and maintenance tasks.
",,"4-6 years Experience working as a mechanic, tire technician, or closely related role.","Checks tires for wear, tear, or punctures to assess whether repairs or replacements are required.
Extends tire lifespan by rotating tires for evenwear.
Removes old and installs new tires; ensures alignment and torque specifications.
Monitors and adjusts tire pressure in accordance with manufacturer recommendations for best performance and safety.
Explains services being performed and advises customers on tire maintenance, replacement options, and driving safety.
Uses specialized tools and machinery such as mounting machines, air compressors, and tire balancers.
Adheres to safety regulations to minimize accidents during tire servicing.
Maintains records of services performed and facilitates inventory management by keeping tracking of supplies and ordering new parts",,"Knowledge and understanding of tire types and repair methods.
Ability to effectively use specialized tools and equipment.
Excellent communication skills both written and verbal."
Wireless Cell Site Technician,"Maintains Wireless Communications Systems by evaluating cell site installations including connections and equipment condition; monitoring cell site status; performing daily, weekly, and monthly maintenance routines; changing cards; fine tuning components; repairing problems; performing acceptance tests; testing lines from cell sites to switches; testing circuits, equipment, alarms, and fire-suppressing systems, back-up.",,"1-3 years experience as a wireless technician.
4-6 years experience in a customer service role.","Plans wireless system operation and maintenance by evaluating cell site installations including connections and equipment condition; ordering and gathering equipment, supplies, materials, and tools.
Operates cell sites by monitoring cell site status including wireless systems, heating, ventilation, and air conditioning (HVAC), back-up power, fire suppression, alarms, and towers; studying technical specifications; identifying, isolating, and resolving problems.
Maintains cell sites by performing daily, weekly, and monthly maintenance routines; changing cards; fine tuning components; repairing problems; updating documentation; upgrading equipment; inspecting wireless communications system and transmission equipment; performing Federal Commerce Commission (FCC) acceptance tests; testing lines from cell sites to switches; testing circuits, equipment, alarms, and fire-suppressing systems, back-up; adhering to industry standards; coordinating requirements with vendors; accepting new equipment from vendors.
Documents cell site maintenance and performance by recording inspections and maintenance performed; collecting and processing network performance data.
Maintains safe, secure, and healthy cell site environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Keeps cell site supplies ready by inventorying stock; placing orders; verifying receipt.
Improves wireless cell site job knowledge by attending training sessions; reading technical publications.
Contributes to wireless cell site and organization success by welcoming related, different, and new requests; helping others accomplish job results.","Certified Network Cable Installer (CNCI)
DL NUMBER - Driver License, Valid and in State","Ability to use basic installation tools and hand tools.
Ability to follow strict safety guidelines in adherence with OSHA standards.
Proficient in Microsoft Office applications.
Excellent communication skills both written and verbal.
Ability to recognize, analyze, and solve a variety of problems."
