Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",Original Job Title,New Job Title,Major Role Group,Minor Sub-Group,Borderline Level,Justification
Coordinator of Postsecondary Scholars Initiatives,"The person in this role leads the design, implementation, and continuous improvement of targeted programming for high-achieving, low-income students across MNPS. This role ensures that students identified as aspiring scholars are supported through mentorship, enrichment, academic preparation, leadership development, and personalized advising that facilitates access to selective colleges and universities. In addition to overseeing the MNPS Scholars Initiative, the Coordinator plays a broader leadership role in building equity-driven postsecondary systems that remove barriers and expand opportunity for all advanced, high-potential students. A key outcome of this role is ensuring more students secure significant scholarships and achieve selective college admission, particularly through integration of the Scholars Initiative with the district's University MNPS strategy. The Coordinator must be a mission-driven leader who understands the systemic challenges facing first-generation and underrepresented students and is committed to building pathways to excellence through proactive, personalized support.",,,"Program Design and Leadership: Lead the development and implementation of the MNPS Scholars Initiative, ensuring program structure, timeline, and supports meet the needs of high-achieving, low-income students.
Scholar Identification and Recruitment: Partner with schools and nonprofit organizations to identify eligible students based on academic performance, leadership potential, and financial need.
Curriculum and Enrichment Coordination: Oversee the delivery of Saturday Seminars, summer programming, and other academic and leadership enrichment aligned with selective college readiness.
Advising and Application Support: Provide or coordinate 1:1 advising and support on college exploration, application strategy, financial aid navigation, and scholarship access.
Transition and Persistence Systems: Build systems for summer bridge, pre-college transition, and ongoing support during college to promote retention, persistence, and graduation.
Partnership Development: Cultivate partnerships with selective colleges, scholarship providers, nonprofits, and local organizations to enhance programming and opportunities.
Mentorship and Alumni Engagement: Build and manage mentorship programs and alumni networks that connect students to peer and professional support.
Equity and Access Advocacy: Use student data and program feedback to inform strategies that remove barriers to college access and improve outcomes for first-generation and low-income students.
Resource Development and Grant Alignment: Collaborate with internal and external stakeholders to seek funding opportunities, track outcomes, and ensure sustainability of the initiative.",,,Coordinator of Postsecondary Scholars Initiatives,Postsecondary Scholars Advisor,Advisor,,,"Supports strategic postsecondary initiatives (e.g., FAFSA, Bridge programs); clear advising responsibilities.. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Advanced Academics Coach,"The role plays a vital role in supporting educators who teach in Advanced Placement (AP), International Baccalaureate (IB), Cambridge AICE, and honors courses across MNPS. This role focuses on improving instructional practices, increasing rigor and engagement, and supporting teacher growth—particularly among new and early-career advanced academics teachers. The Coach provides direct instructional support and professional learning aligned with the district's academic readiness and equity goals. The Coach should be an experienced, equity-focused educator who is passionate about supporting rigorous instruction and expanding access to college-level learning experiences for all MNPS students.",,,"Targeted Instructional Coaching: Provide job-embedded coaching to advanced academics teachers, with a special focus on new and early-career educators.
Standards-Aligned Support: Help teachers implement instructional strategies aligned to AP, IB, AICE, and honors program expectations and college-level academic standards.
Professional Learning Leadership: Design and facilitate high-quality professional development that strengthens instructional practice, promotes academic challenge, and supports equity in advanced coursework.
Curriculum and Practice Integration: Support teachers in adapting curriculum and assessments to meet the rigor of advanced programs while ensuring accessibility for diverse learners.
Mentorship and Retention Support: Serve as a key support for advanced academics teachers navigating new content areas or instructional expectations, contributing to stronger teacher retention.
Instructional Planning Collaboration: Work with teachers to develop unit plans, lesson structures, and instructional routines that promote critical thinking, academic discussion, and postsecondary readiness.
Feedback and Reflection Cycles: Engage educators in reflective practice using non-evaluative observation, feedback, and coaching strategies.
Collaboration with CCR Teams: Partner with the Coordinator and Director of Advanced Academics, as well as counseling and advising staff, to ensure alignment between instructional practice and broader CCR strategies.",,,Advanced Academics Coach,Academic Readiness Coach,Coach,,,Strong instructional coaching + EPSO systems. Aligned with Coach KSACs.
Accounting Specialist II,"The essential function of the position within the organization is to perform accounting functions, monitor related documentation, and provide assistance and accounting support to other accounting personnel as well as to other MNPS staff.   The position is responsible for analyzing accounts, preparing and reconciling financial information, occasionally assisting other MNPS departments with financial information, and helping to maintain financial records and reports in accordance with District and government requirements.","Bachelor's Degree in Accounting, Finance or related field Required", Relevant accounting experience is Preferred,"Research and post accounting information appropriately.
Review and prepare billing statements and payments on behalf of MNPS.
Participate in the processing of account related information such as, payroll, accounts receivable, and/or accounts payable.
Maintain various financial reports and statements including year-end reports.
Verify, monitor, and reconcile accounts.  Collect, enter, update, and maintain account information.
Interact with staff, different departments, and/or external agencies to ensure accuracy of accounts, respond to inquiries, and provide accounting support.
Provide information and assistance to internal and external auditors.
Perform related tasks as necessary such as research and analyze financial and accounting records to determine sequence of operations and account resolutions.",,"Understanding of accounting practices.
Knowledge of an Oracle-based accounting system is preferred.
Adaptability and the ability to learn quickly, research and solve finance related problems.
Strong interpersonal skills including the ability to provide a high level of customer service and establish and maintain effective relationships within the organization.
Ability to prioritize and self-direct.",Accounting Specialist II,Accountant I,Accountant,I,,"Matches Accountant KSACs, but only meets the minimum requirements of the Accountant role, so the position is a level I."
College and Career Readiness Coach,"The job supports school-based staff in building strong, consistent advising practices and a cohesive postsecondary readiness culture across MNPS high schools. This role works closely with college and career coaches, CCR counselors, and school leadership teams to promote student access to high-quality advising and readiness milestones. The CCR Coach provides coaching, training, and systems support around the use of college and career readiness platforms and processes such as career exploration, college match and application, FAFSA completion, and postsecondary transition planning. By improving implementation and staff capacity, this role directly contributes to increased Ready Graduate rates and more equitable access to postsecondary opportunities. The Coach should be a dynamic educator or counselor with a deep commitment to postsecondary readiness and the ability to coach others toward equitable, student-centered advising systems.",,,"Advising Practice Coaching: Provide job-embedded coaching to CCR counselors, college and career coaches, and other advising staff to support best practices in college and career readiness advising.
Platform Implementation Support: Assist school teams in effectively using college and career readiness platforms and digital tools for exploration, planning, and milestone tracking.
Professional Learning: Design and facilitate professional learning focused on advising strategies, postsecondary planning, and student engagement with readiness tools.
Milestone Strategy Alignment: Support implementation of schoolwide efforts related to FAFSA completion, college application campaigns, postsecondary match, and student transition milestones.
Cross-Team Collaboration: Work in coordination with Counseling and Advising, CCR Systems, and College Access teams to ensure that CCR coaching aligns with district priorities and integrates into Tiered Transition Planning.
Equity and Access Support: Help school-based teams identify and address advising gaps, ensuring that historically underserved students have access to comprehensive college and career planning supports.
Feedback and Planning: Participate in continuous improvement cycles by providing input on school advising practices, facilitating reflective dialogue, and co-developing improvement strategies with school teams.",,,College and Career Readiness Coach,Postsecondary Readiness Coach,Coach,,,Strong systems coaching and milestone advising. Aligned with Coach KSACs.
Government Studies Specialist,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor studentâ€™s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines",Government Studies Specialist,Teacher (Does not give enough information for more because of our generic Teacher JD),Teacher,,,"Matches Teacher KSACs, including Pedagogical Techniques and Curriculum Development. Minor Sub-Group rules not established for Teacher."
HR Specialist,"Associate—Classroom works directly in a classroom to fill vacancies created when teachers are absent or on leave from the workplace. Associate—Classroom will need to be flexible in filling short-term and/or long-term needs of a school. They may be asked to cover prep periods, provide lesson plans, engage in student supervision and/or instruction, proctor or administer student assessments, grade lessons or exams and enter results into records, attend parent conferences, collaborate with instructional team for planning, or other related duties.",Bachelor's Degree or a minimum of 60 college credits from an accredited institution verified by an original transcript. Such alternatives to the above qualifications as the Director of Schools may find appropriate and acceptable Required,1-3 years work experience  Required,"Perform various instructional support tasks as assigned to facilitate the effective teaching of applicable subject matter and to maintain appropriate classroom environment. Provide tutoring/intervention services for students, as needed.
Work with instructional leaders to plan daily lessons to meet the needs of all students. Adapt teaching methods and instructional materials to meet students’ varying needs and interests.
Follow the daily schedule (academic and supervisory), class rolls, lesson plans, and other information for the day’s activities as provided by the classroom teacher or school administration.   Proctor and grade examinations or lessons and enter results into the appropriate classroom records. Record attendance according to school policy.
Establish and enforce rules of behavior and procedures for maintaining effective classroom management to encourage student participation, minimize distractions, and maintain a positive learning environment.
Participate in meetings and/or assisting with school events as required
Supervise students both in and out of the classroom.
Establish and maintain satisfactory, respectful working relationships within the school environment and comply with all MNPS policies and state and federal laws.",,"Ability to communicate orally and in writing with students, parents, and others
Ability to plan, organize and establish priorities related to assignment.
Basic understanding and knowledge of current technology
Ability to handle sensitive information in a confidential manner.
Knowledge of School Board policies and practices as they relate to teaching.
Ability to handle problems, concerns and emotional distress with sensitivity and tact.
Ability to maintain appropriate student supervision so that students have a safe and orderly environment in which to learn.
Ability to assist in writing and following through with Individual Education Plan (IEP) goals.
Ability to work effectively with peers, administrators and others.
Ability to work independently and make decisions with minimum supervision.
Ability to handle multiple tasks in a professional and courteous manner.
Ability to answer a telephone in a professional and courteous manner.",HR Specialist,Tutor I,Tutor,II,,"Matches the Tutor KSACs, including Educational Strategicies, Learning Styles, and Resoursefulness. Based on qualifications being higher than the minimum and the scope, position is a level 2."
Professional Learning Specialist,"Works cooperatively with departmental staff as well as other departments within the district and external users or vendors of MNPS.  Works collaboratively to identify, test, and implement hardware and software solutions to user needs.",Master's Degree from an accredited institution in related field Preferred," Five (5) years successful system administration experience in all, or a portion of the related areas Preferred","Performs daily maintenance and management procedures, and maintains resources within the Apple management system, interactive panels other managed instructional applications and interoperative systems.
Coordinates with district leaders, system administrators, business application owners/managers, field support, and help desk functions to ensure usability, availability, reliability, and scalability of systems to meet instructional and enterprise objectives.
Provides 'tier 3’ technical support for Apple and Interactive Panel devices.
Recommends and executes modifications to systems, following the districts change control process, to improve efficiency, reliability, usability and performance.
Assists in implementation and maintenance of policies, procedures and associated training plans for systems administration and their appropriate use.
Ensures\enforces security standards as it relates to, information interchange\file security, server\application hardening, and account management.
Participates in key process improvements for Apple Computer, iPad, Promethean Panel, and all other brands of Interactive White Boards and Panels.
Monitors technology trends and serves as a liaison to vendors of foundational technology. Responsible for suggesting and evaluating new items of technology hardware."," Certifications in Jamf, Apple School Manager, or MDM management  Preferred","Knowledge of support and maintenance of devices including MacOS computers, iPads, Touchscreen panels and Interactive White Boards.
Experience with Mobile Device Management or Systems Management platforms.
Exceptional judgment and professionalism, with the ability to adapt to a changing environment.
Must be a team player with the ability to work collaboratively with others.
Ability to be flexible in prioritizing key activities, while managing / meeting stakeholder expectations.
Ability to manage multiple assignments and meet all required timelines,
Knowledge of technology, hardware, software, operating system, and network.
Able to assess, diagnose, and troubleshoot technical issues.    Strong communication and collaboration skills.   LAN/WAN knowledge, management, and support
System administration and maintenance.",Professional Learning Specialist,Learning Systems Specialist III,Specialist,III,,"Matches the Specialist KSACs, including Industry Specific Knowledge, Subject Matter Expertise, and Advanced Technical Skills. Due to the high complexity and freedom to act, position is a level 3."
Learning Systems Support Specialist,"Assist principal in planning, directing, or coordinating the academic, administrative, or auxiliary activities of assigned school. Builds capacity of educators to provide all students a rigorous curriculum, aligned with adopted state standards. Collaborates with stakeholders to establish and communicate a clear, compelling vision for continuous improvement. Promotes the professional growth of all staff members through clear expectations for performance, modeling expected behaviors, effective coaching practices, conducting frequent supervisory visits with clinical feedback for improvement. Ensures effective and objective evaluation of staff.","Master's Degree in Secondary Education, Educational Administration, or a closely related field Required", 3 years of certificated experience Required,"Assists with supervision of staff, including recruitment, selection, development, deployment, performance evaluation, counseling, discipline, and recommendation for termination.
Provides leadership to create an environment that fosters the lover for learning, active student engagement, and consistent improvement in academic achievement. Provides leadership in planning, developing, implementing, and evaluating instructional programs and activities. Assists with scheduling classes and extra-curricular activities for students.
Provides stewardship of the instructional program by facilitating, and/or actively leading the appropriate professional learning communities at the school while ensuring the effective implementation of required curriculum including National, State and Local Standards of Practice for areas of responsibility.
Create a culture of collaboration and shared accountability where people are valued, supported, and personally invested in professional growth. Ensures the creation of a safe and orderly environment by implementing policies approved by the Board of Education and district safety procedures and protocols; enforces policies and procedures for student discipline, and protects studentsâ€™ rights; coordinates safety inspections and safety evacuation drills according to established laws and protocols.
Assists with development, preparation, and administration of approved school budget; monitors and approves expenditures; supervises financial operations of designated areas in the school.
Supervises compilation of student data, including report cards, transcripts, and schedules; supervises reporting and monitoring of student attendance. Maintains record system for area of responsibility; processes paperwork including, reports, memos, requisitions, and personnel information. Gathers and maintains information/data to support periodic and special reports documenting activities for area (or Academy) of responsibility.
Create strong partnerships with our parents and the community to collectively improve student outcomes and the growth and viability of greater Nashville.  Utilizes effective communication skills to establish and maintain positive relationships with staff members, students, parents, and community. Attends or conducts staff, parent, PTA, and other professional meetings to exchange information; attends professional classes, seminars, or conferences to improve professional skills.
Coordinates requisitioning of supplies and equipment; conducts inventories; maintains records, and checks receipts/invoices for materials.", State certification in Administration  Required,"Ensures compliance with all legal mandates regulating school operations, studentsâ€™ rights and responsibilities, communication with external agencies, parental custody, student attendance, search and seizure, and all disciplinary matters involving student conduct.
Knowing the law is the administratorâ€™s responsibility.
Promotes a culture of quality and high performance by communicating expectations and procedures in a clear and concise manner.
Provides adequate and timely information to staff, students, and parents regarding school operations and special circumstances.
Demonstrates ability to establish positive relationships with all stakeholders by employing effective interpersonal communication skills.
Demonstrates effective public speaking skills.
Demonstrates the use of logical principles and thinking to solve practical problems in the daily operation of the school or a specific unit/department.  Addresses complex and unusual situations in a calm, composed, and logical manner.
Takes initiative, ingenuity, and creativity to address persisting or sudden problems hindering the effective operation of the school.
Analyzes the impact and ramifications of decisions made.
Effectively determines how decisions can affect units in the organization, citizens; student or staff safety, property damage and other legal liabilities",Learning Systems Support Specialist,Assistant Principal,Assistant Principal,,,"Matches the Principal KSACs, but is at a junior level."
Spec Travel,"Plans and books transportation and accommodations for MNPS sponsored travelers. Determines modes of transportation, costs, and accommodations as required. Describes, plans and arranges itineraries. Resolves clients' travel problems. Performs training for district employees on proper travel policies and procedures.",Associate's Degree  Preferred," Experience with computer applications, reporting and reconciliation for accounting, banking or purchasing software applications Required","Receives requisitions and creates, maintains and closes purchase orders for travel and accommodations from all MNPS departments and charter schools.
Ensures encumbrance of federally-funded travel events for all MNPS and private schools receiving federal money.
Converses with customers to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required.
Books conferences, Hotel reservations and arranges ground and air transportation. Using District travel P-card.
Computes cost of travel and accommodations, using calculator, computer, carrier tariffs, and hotel rates, or quotes package costs.
Prepares a complete travel packet including itineraries, conformations, and tickets along with brochures, publications containing travel information, such as local customs, points of interest, or foreign country regulations.
Plans, describes, and arranges itinerary packages and promotional travel incentives offered by various travel carriers.
Reconciles purchase card statement to PO’s monthly.",,"Microsoft Office, Advanced computer skills, Customer Service, Multi-tasking",Spec Travel,Travel Clerk,Clerk,,,"The qualifications for this role do not match those of other specialists, only requiring a high school diploma or equivalent, with an associate’s preferred. Some experience with computer applications is required, related to the functions of the position, but the experience is not specialized and not on any specific metric. Furthermore, the essential functions of the position match closer with another classification, assistant, rather than specialist. The position is built around travel arrangements, one of the KSACs of an assistant. Furthermore, calendar management is used to book conferences, hotel reservations, and other aspects of travel. Correspondence management is important for keeping all parties involved with the travel updated and attention to detail and organization are important to reconciling statements monthly and ensuring encumbrance for federal funds."
Spec Classroom Management,"Works directly with a classroom teacher to assist with the implementation of supports and services reflected in an individual education program (IEP). Provides support to teachers and students in a variety of tasks related to academics, behavior and physical logistics.  Coaches and encourage students to actively engage in the process of learning and becoming more independent.

","Associate's Degree Must have “Highly Qualified” status from at least one of these measures: 1) 48 hours from an accredited college, 2) an Associate’s Degree from an accredited college, or 3) current “Paraprofessional Praxis” distinction Required", Previous work experience with children under the supervision of other adults Required,"Provides small group instruction under the guidance and supervision of certificated personnel.
Facilitates and models appropriate social interactions and behaviors among students.
Assists in the personal care of students such as feeding, diapering, lifting, etc.
Monitors, collects and records students’ behavioral and/or academic performance as directed by the teacher.
Actively engages with and consistently supervises all students throughout the day, e.g. attending a field trip, transitioning from class to class, escorting students to the restroom, etc.
Supervises groups of students during arrival, dismissal, lunch, and/or other activities designated by the teacher or administrator.
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans.
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, including training for proper restraint procedures.",,"Proficient in basic computer skills, especially Microsoft Word, Excel, and Outlook.",Spec Data Ex Ed,Data Exceptional Education Clerk,Clerk,,,"While the degree requirements are low, only a high school diploma, the experience required is highly specialized and focused specifically on the essential functions of the role. However, the essential functions seem to be better matched with the KSACs of a clerk. While the role is designed to ensure data integrity, it does this more through key KSACs of the clerk Role: data entry, record-keeping practices, computer skills, attention to detail, and organizational skills; rather than through any real analysis. Providing customer service is also a key facet of the role, which is another KSAC of the clerk role."
Coordinator of CCR Data Systems,"The employees plays a critical role in designing, supporting, and maintaining the data infrastructure that powers college and career readiness work across MNPS. This role supports all CCR team members by making data tools user-friendly, actionable, and aligned to the district's strategic goals. The Coordinator collaborates closely with CCR staff, school teams, and district departments to improve data literacy, ensure timely access to accurate information, and build systems that support continuous improvement. This position is instrumental in transforming how data is used to drive decision-making, track student progress, and improve outcomes related to EPSOs, Ready Graduate metrics, and postsecondary transitions. The Coordinator must be a technically skilled, educator-minded leader who can translate complex data into actionable insights. The Coordinator of CCR Data Systems ensures that every member of the CCR team—and every school—is equipped with the tools and understanding needed to make data-driven decisions that improve student readiness.",,,"System Design and Maintenance: Build and maintain user-friendly dashboards, trackers, and reports that reflect key CCR metrics such as EPSO participation, credential attainment, FAFSA completion, and ACT readiness.
Cross-Team Data Collaboration: Partner with directors, coordinators, and coaches across CCR to align data tools to program goals, implementation needs, and school support structures.
Data Literacy Support: Develop tools, guidance, and professional learning resources to help CCR staff and school teams interpret, communicate, and act on data.
Continuous Improvement Infrastructure: Support the use of data in team planning routines, performance reviews, and school-based strategy development. Ensure systems enable regular reflection and course correction.
Collaboration with Research and IT: Work with Research, Assessment & Evaluation and IT departments to ensure CCR data systems are integrated, accurate, and aligned with broader district systems.
Equity and Access Monitoring: Use data to surface gaps in access, participation, and success within CCR programs. Build tools that help teams target support to historically underserved student populations.
Implementation Support: Supervise and support employees who provide coaching and technical support to CCR staff and school-based users who rely on dashboards and reporting systems in their daily work.",,,Coordinator of CCR Data Systems,CCR Data Architect,Architect,,,"Systems owner, integration leader; architectural responsibilities justify role change. IT architecture and software systems responsibilities align with Architect KSACs."
Spec Creative Services II,"Supports the execution of the district's external and internal communication activities by providing graphic design services and oversight of multimedia projects. Receives assignments from supervisor. Liaisons with the Communications Manager, Marketing Manager and Public Information Officer, as well as other district staff, to coordinate tasks as needed.","Bachelor's Degree In related field of study , or equivalent experience Required", 2 years minimum related experience Required,"Works with the Communications management team to identify, prioritize and plan projects that could benefit from graphic design and multimedia services in order to support the internal and external communication goals of the district. Coordinates with other members of the communications team and district staff to accomplish tasks as needed.
Oversees the work of freelance graphic designers, photographers and videographers who are hired periodically to augment the work of the Creative Services team.
Uses Adobe design software and other professional-grade equipment and technology to produce an array of communication materials that may be distributed electronically or in hard copy format, including posters, fliers, brochures, web graphics, booklets, reports, fact sheets, etc.
Interfaces with the district’s in-house print shop as well as printing and supply vendors to receive quotes and manage production of printed materials as needed.
Maintains an electronic archive of the district’s designed materials, photographs, logos and other images used.",,,Spec IT Field Support,It Field Support Technician,Technician,,,"While the qualifications for the position are on par with some specialist positions, with two years’ experience, higher education preferred, and a subject matter certification required, the role itself does not act as a specialist. The role does have subject matter expertise and industry-specific knowledge but does not require the creativity or cultural intelligence of the specialist classification and requires little regulatory compliance. Instead, the role matches with Technician, with the Technical expertise required, Repair and Restoration, and most importantly, the Diagnostic Techniques and troubleshooting, which is a major part of the role."
Classroom Specialist,"Reviews and prioritizes all incoming communications and responds or redistributes as necessary.  Collects and compiles requested information quickly and accurately. Handles customer service-related issues, including internal customers. May train and supervises staff.
",Bachelor's Degree in a related field of study Required, Minimum of five years’ in dedicated customer service and/or assisting executive-level staff in a high volume environment Required,"Schedules and arranges all activities of the Chief Officer.  Organizes, schedules and maintains the Director’s calendar and planning schedule.
Liaison between Chief Officer and federal, state and local stakeholders.  Coordinates communications between Director and Executive Leadership Team and/or MNPS staff.
Oversees and administers the day-to-day activities and workflow of the office; develops policies, procedures and systems which ensure productive and efficient office operation. Collaborates with department and other district staff in support of projects and other goals.  May maintain project schedules and logs for project teams.
May oversee the supervision of staff, which includes sequencing, work allocation, training, and problem resolution; evaluates performance and makes recommendations for personnel actions; and motivates staff to achieve peak productivity and performance.
Answers phone calls and directs calls to appropriate parties or take messages. Greets visitors and determines whether they should be given access to specific individuals. Reads and analyzes incoming mail, submissions, emails, and reports to determine their significance and plans their distribution.
Prepares and edits reports, memos, letters, speeches, and other documents, using word processing, spreadsheet, database, or presentation software. Creates and maintains file management system for easy access to documents for all end users. Files and retrieves documents, records and reports.
Conducts research, compiles data and prepares papers for consideration and presentation by Chief Officer.
Keep Chief Officer apprised of important issues involving schools, community, media, etc.",,,Classroom Specialist,Administrative Assistant II,Administrative Assistant,II,,"Matches the Administrative Assistant KSACs the best, including Office Administration, Calendar Management, and Correspondance Management. More senior than the previous example, with more supervisory duties, larger scope, and higher qualifications, placing it at level II."
Data Specialist,"Answers frequently asked questions from applicants and employees relative to standard policies, benefits, hiring processes, etc. Answer inquiries and provides information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization. Collects, distributes and maintains the integrity and confidentiality of human resource files and records. 
",Bachelor's Degree  Preferred," Experience working with an HRIS system and other HR related technology systems which include HR files, payroll, time and attendance, automated benefit enrollments, employee self-serve platform or related technical solutions Preferred","Greets visitors, determines nature and purpose of visit, and assists them in a friendly, professional and efficient manner. Provides information about MNPS, such as location of departments or offices, employees within the organization, or services provided as appropriate.
Operates multifunction telephone to answer, screen, or forward calls; provides information, may schedule testing or appointments.
Efficiently and correctly processes I-9 forms documentation from new employees as directed. Electronically scans HR related documents and/or verifies scanned documents. Transmits information or documents using computer, mail, or facsimile.   Maintains the integrity and confidentiality of human resource files and records, with adherence to all applicable local, state and federal laws.
Creates and distributes employee badges as necessary.
Assists candidates with the application process.
Performs general administrative support functions (i.e., typing, filing, faxing, making copies, and distributing correspondence), as requested.  May collect, sort, distribute, or prepare mail, messages, or courier deliveries.",,"Knowledge of Taleo web-based applicant tracking system preferred.
Applicants must have a strong attention to detail, solid knowledge of basic business practices, and excellent oral and written communication.
Comfortable managing confidential information, sensitive data, and maintaining confidentiality and discretion at all times.
Must be able to work autonomously and remain calm under pressure.",Data Specialist,Human Resources Clerk,Clerk,II,,"Matches the Clerk KSACs, including Data Entry, Record-Keeping Practicies, and Customer Service.  Based on qualifications and scope, which is higher than the minimum for the clerk position, position is a level II. "
Data Projects Specialist,"Assists EL and content teachers in meeting the needs of English Learners (ELs) students in planning, modeling, and coaching differentiated lesson based on the proficiency levels of the students.  Assists school staff in reviewing and utilizing EL data, and identifying and facilitating professional development based on school data.","Bachelor's Degree In education, a specific subject, curriculum development or a related field Required",1-3 years Classroom teaching experience  Required,"Reviews English Learners data with administrators and teachers to develop service models, plan lessons, and deliver instruction.
Conducts professional development about language acquisition and strategies embedded in content.
Conducts and facilitates departmental and grade level PLCs sessions to assist with planning and collaboration for instruction and meaningful differentiation in classrooms.
Conducts coaching cycles and classroom visits and provides feedback to teachers.  Models lessons and instructional strategies for teachers.
Knowledge of best practices in adult learning, teaching methods and teaching skills and the ability to use and model them.
Demonstrated ability to analyze student performance data, then, formulate instructional strategies to meet student needs.",Teaching Certification/License Current TN teaching license and EL endorsement  Required,,Data Projects Specialist,Coach EL School Based,Coach,,,"Matches Coach KSACs, including Academic and Pedagogical Expertise, Performance Evaluation, and Learning Strategics and Techniques."
Accounts Specialist II,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor studentâ€™s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines",Accounts Specialist II,Teacher (Does not give enough information for more because of our generic Teacher JD),Teacher,,,"Matches Teacher KSACs, including Pedagogical Techniques and Curriculum Development. Minor Sub-Group rules not established for Teacher."
Spec Customer Experience II,"The job serves as the subject matter expert for all items of foundational technology, software, and operating systems.  Works across all sections supporting the end users to ensure a consistent user experience with technology services.   Works with Technology Services Departments and end-users throughout the District to identify, test, and implement hardware and software solutions to user needs.
",Bachelor's Degree or relevant work experience Required,1-3 years Technical support role Required,"Monitors and troubleshoots issues related to the performance of deployed hardware.  Tests possible changes and makes recommendations that are targeted to improve performance and usability.
Performs Mobile Device Management configuration and management of various systems.
Coordinates with Business Owners and Product Managers to document and solve support solutions.
Consults with all stakeholders to recommend modifications to improve the technical usability of systems.
Coordinates with other Technology Services department groups to address hardware, software and operating system issues related to the customer experience.
Prepares and monitors change control requests required by changes to foundational hardware, software, and operating systems.
Monitors technology trends and serves as a liaison to vendors of foundational technology.  Responsible for evaluating and recommending technology hardware and software.
Monitors technology trends and serves as a liaison to vendors of foundational technology.  Responsible for suggesting and evaluating new items of technology hardware.","DL NUMBER - Driver License, Valid and in State   Required
 Certification in one or more Operating Systems including Windows10, MacOS, iPadOS
  Preferred","Exceptional judgment and professionalism, with the ability to adapt to a changing environment.
Must be a team player with the ability to work collaboratively with others.
Ability to be flexible in prioritizing key activities, while managing / meeting stakeholder expectations.
Ability to manage multiple assignments and meet all required timelines.
Technology, hardware, software, operating system, and network knowledge.
Able to assess, diagnose, and troubleshoot technical issues.
Strong communication and collaboration skills.",Spec GIS,GIS Specialist,Specialist,,,"The qualifications match for specialists, requiring a bachelor’s degree in a specialized field, and experience with specific areas related directly to the essential functions of the position. While some of the essential functions match the key KSACs of a technician, including Technical Expertise, most of those can also be found in Specialist KSACs, as well as a few others that match. The role requires the employee to be a subject matter expertise, have specialized training and Advanced Technical Skills, to collaborate and communicate with stakeholders, as well as analytical thinking needed to conduct GIS analysis tasks."
